"","dates","so2","no2","pm10","pm2.5","dates.1","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"236","2015-10-02",3,24,54.5,27.5,"2015-10-02",3,15,2,8,11,14,7,14,0
"237","2015-04-08",2,19,62.3333333333333,30,"2015-04-08",2,10,8,12,12,5,10,11,11
"238","2015-06-24",2,21,46,19.3333333333333,"2015-06-24",5,15,7,1,8,2,15,2,12
"239","2015-07-29",2,22.6666666666667,40.6666666666667,21.6666666666667,"2015-07-29",1,14,1,6,12,11,8,14,12
"240","2015-08-01",2,17,51,21,"2015-08-01",5,8,1,0,NA,NA,10,3,14
"241","2015-08-19",2,18,41,18,"2015-08-19",13,9,5,13,8,6,7,15,11
"242","2015-10-28",5.41666666666667,14,102.333333333333,39.5,"2015-10-28",10,10,4,11,NA,NA,5,5,12
"243","2015-11-04",2.66666666666667,18.6666666666667,109.666666666667,50.6666666666667,"2015-11-04",10,11,11,0,14,14,10,6,11
"244","2015-12-19",3.5,20,122.25,48.75,"2015-12-19",0,3,13,11,1,7,0,11,4
"245","2015-12-26",6.55555555555556,15.5555555555556,122.555555555556,45.6666666666667,"2015-12-26",11,13,7,15,11,10,10,10,8
"246","2015-01-21",3.66666666666667,18.6666666666667,100.666666666667,56.3333333333333,"2015-01-21",8,5,5,15,11,3,5,11,15
"247","2015-02-15",7,13,113,57,"2015-02-15",7,5,6,6,0,12,13,2,3
"248","2015-02-20",5.71428571428571,18.2857142857143,112.571428571429,49.5714285714286,"2015-02-20",8,4,15,14,13,12,9,11,11
"249","2015-03-07",4.5,16.75,90.25,45.25,"2015-03-07",5,6,4,15,9,4,14,10,7
"250","2015-06-03",4.5,21.5,91,42,"2015-06-03",11,5,14,12,6,11,8,3,4
"251","2015-10-21",7,14,104,44,"2015-10-21",12,0,0,10,7,14,5,4,0
"252","2015-11-29",7,15,109,44,"2015-11-29",9,14,4,13,2,0,10,15,5
"253","2015-04-22",2,15.4,92.6,35,"2015-04-22",4,12,7,5,12,7,14,8,2
"254","2015-04-29",2,18,57,21.2,"2015-04-29",11,4,10,11,8,1,10,0,6
"255","2015-11-18",3.5,16,86.5,33.5,"2015-11-18",8,10,15,0,2,15,12,9,0
"256","2015-02-17",10,24.6666666666667,104.666666666667,56.3333333333333,"2015-02-17",2,1,11,6,12,0,12,4,10
"257","2015-02-24",6.4,18.6,119,55,"2015-02-24",4,13,8,5,15,7,4,9,1
"258","2015-02-27",6.25,20.75,111.75,59,"2015-02-27",7,10,7,14,9,8,7,15,4
"259","2015-03-27",2.5,20.5,79.5,49,"2015-03-27",8,3,0,7,8,4,0,15,15
"260","2015-04-14",9,21,75.5,44.5,"2015-04-14",7,15,11,5,7,4,6,3,9
"261","2015-06-05",4.33333333333333,16.6666666666667,88.6666666666667,25.1666666666667,"2015-06-05",1,6,4,6,15,3,7,1,1
"262","2015-08-28",6,18,62,32,"2015-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","2015-10-14",3,22.5,67.5,28.75,"2015-10-14",8,6,4,0,NA,NA,1,5,6
"264","2015-10-03",2.66666666666667,16.3333333333333,68,37.6666666666667,"2015-10-03",15,14,4,0,4,15,1,5,12
"265","2015-10-07",3,13.5,110.5,50.5,"2015-10-07",4,7,9,3,9,13,7,14,2
"266","2015-11-21",11,14,120.666666666667,40.6666666666667,"2015-11-21",4,9,2,12,5,4,7,13,4
"267","2015-11-28",4,17,81,52,"2015-11-28",2,14,0,3,0,13,10,3,12
"268","2015-01-17",2,22,94,62.5,"2015-01-17",7,7,4,11,11,4,15,15,5
"269","2015-01-28",2,20,89.5,52.5,"2015-01-28",1,5,14,2,12,3,13,7,9
"270","2015-01-31",2,19.6666666666667,98.3333333333333,51.3333333333333,"2015-01-31",1,15,1,4,13,1,8,9,10
"271","2015-02-04",2,19.6666666666667,105.666666666667,44.3333333333333,"2015-02-04",8,10,0,1,4,3,4,7,14
"272","2015-02-07",2,17,104,60.3333333333333,"2015-02-07",9,8,15,4,12,4,0,0,1
"273","2015-03-21",2,20.5,85.5,39,"2015-03-21",8,0,2,12,0,8,7,8,4
"274","2015-08-22",2,17,52,30,"2015-08-22",8,12,9,2,8,11,3,1,7
"275","2015-12-05",3,24.5,87.5,49.5,"2015-12-05",10,9,5,10,15,9,13,11,5
"276","2015-10-31",2,21,78,19,"2015-10-31",7,9,4,0,7,15,4,15,13
"277","2015-01-07",3,14.2,110.6,48.6,"2015-01-07",3,15,11,8,14,2,12,2,5
"278","2015-10-10",13,12.6666666666667,112.333333333333,38.6666666666667,"2015-10-10",8,3,4,4,6,2,8,3,0
"279","2015-07-01",2.25,14.75,91,35.25,"2015-07-01",5,11,3,11,9,12,8,4,10
"280","2015-07-08",2,14.25,77,39.25,"2015-07-08",2,1,0,9,11,14,8,12,10
"281","2015-06-17",9.5,22.5,51,22,"2015-06-17",10,6,4,14,2,8,11,2,12
"282","2015-07-15",8,21,57.5,28,"2015-07-15",4,9,5,10,1,13,8,2,2
"283","2015-01-03",2,30,89,51,"2015-01-03",13,4,8,6,0,15,7,6,14
"284","2015-01-10",2,30,80,55,"2015-01-10",5,11,14,2,10,3,13,0,15
"285","2015-01-14",2,30,94,47,"2015-01-14",6,5,3,10,4,1,6,14,8
"286","2015-01-24",3,31,93,55,"2015-01-24",3,2,8,6,7,5,3,14,8
"287","2015-02-11",2,28,80,26,"2015-02-11",0,10,9,2,13,9,7,15,4
"288","2015-02-14",2,28,93,30,"2015-02-14",11,5,14,13,8,5,12,0,5
"289","2015-02-21",2,28,81,34,"2015-02-21",13,1,15,12,11,2,13,5,8
"290","2015-03-14",2,25,68,26,"2015-03-14",12,4,14,9,2,5,3,9,1
"291","2015-03-28",2,29,76,34,"2015-03-28",13,3,0,11,8,8,7,7,11
"292","2015-04-01",2,28,61,35,"2015-04-01",4,12,8,1,4,12,12,9,1
"293","2015-05-02",2,28,60,26,"2015-05-02",15,1,8,6,14,13,4,15,5
"294","2015-05-09",2,27,89,26,"2015-05-09",2,2,5,8,14,5,13,7,9
"295","2015-05-16",3,27,79,26,"2015-05-16",0,11,10,15,11,10,6,3,13
"296","2015-05-23",2,28,61,26,"2015-05-23",13,8,2,14,14,10,11,12,12
"297","2015-06-10",2,28,60,26,"2015-06-10",0,8,4,4,2,15,9,11,15
"298","2015-06-13",2,28,70,30,"2015-06-13",9,8,15,8,0,9,13,0,13
"299","2015-06-27",2,29,58,30,"2015-06-27",8,4,8,6,1,0,1,14,8
"300","2015-07-04",2,28,60,30,"2015-07-04",5,16,9,10,5,14,11,5,16
"301","2015-07-11",2,28,65,35,"2015-07-11",5,20,13,14,4,7,18,8,11
"302","2015-07-18",2,29,56,26,"2015-07-18",10,14,9,15,7,5,5,13,9
"303","2015-07-22",2,28,59,34,"2015-07-22",6,9,10,14,12,10,17,16,15
"304","2015-07-25",2,28,55,33,"2015-07-25",12,11,8,20,17,6,14,8,3
"305","2015-12-12",3,29,81,51,"2015-12-12",14,12,15,15,6,15,8,13,13
"306","2015-08-12",2,12,94,40,"2015-08-12",19,15,17,21,5,9,16,18,6
"307","2015-10-17",2,15,99,38,"2015-10-17",19,17,11,9,15,13,15,7,8
